File,Modality,Shape,Resolution (mm),Orientation
ms-multi-spine-challenge-2024/sub-093/anat/sub-093_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-079/anat/sub-079_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-079/anat/sub-079_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 220)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-024/anat/sub-024_STIR.nii.gz,STIR,"(768, 768, 15)","(np.float32(0.4296875), np.float32(0.4296875), np.float32(2.7496128))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-024/anat/sub-024_T2w.nii.gz,T2,"(896, 896, 17)","(np.float32(0.36830357), np.float32(0.36830357), np.float32(2.7496128))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-001/anat/sub-001_T2w.nii.gz,T2,"(15, 384, 384)","(np.float32(3.0), np.float32(0.78125), np.float32(0.78125))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-001/anat/sub-001_STIR.nii.gz,STIR,"(15, 432, 432)","(np.float32(3.0), np.float32(0.6944444), np.float32(0.6944444))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-085/anat/sub-085_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.7500007))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-085/anat/sub-085_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 170)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-043/anat/sub-043_STIR.nii.gz,STIR,"(768, 768, 15)","(np.float32(0.4296875), np.float32(0.4296875), np.float32(2.7497845))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-043/anat/sub-043_T2w.nii.gz,T2,"(896, 896, 17)","(np.float32(0.36830357), np.float32(0.36830357), np.float32(2.7497864))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-018/anat/sub-018_T2w.nii.gz,T2,"(512, 512, 12)","(np.float32(0.7422), np.float32(0.7422), np.float32(3.2999992))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-018/anat/sub-018_STIR.nii.gz,STIR,"(512, 512, 12)","(np.float32(0.7422), np.float32(0.7422), np.float32(3.2999992))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-047/anat/sub-047_T2w.nii.gz,T2,"(768, 960, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.2997298))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-047/anat/sub-047_STIR.nii.gz,STIR,"(384, 480, 15)","(np.float32(0.6770833), np.float32(0.6770833), np.float32(3.2997298))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-009/anat/sub-009_T2w.nii.gz,T2,"(15, 560, 560)","(np.float32(3.0), np.float32(0.625), np.float32(0.625))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-009/anat/sub-009_STIR.nii.gz,STIR,"(17, 576, 576)","(np.float32(3.0), np.float32(0.60679615), np.float32(0.60679615))","('L', 'P', 'S')"
ms-multi-spine-challenge-2024/sub-049/anat/sub-049_T2w.nii.gz,T2,"(784, 784, 15)","(np.float32(0.5188679), np.float32(0.5188679), np.float32(2.9999993))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-049/anat/sub-049_STIR.nii.gz,STIR,"(528, 528, 12)","(np.float32(0.5294118), np.float32(0.5294118), np.float32(2.9999998))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-052/anat/sub-052_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-052/anat/sub-052_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-027/anat/sub-027_T2w.nii.gz,T2,"(16, 768, 888)","(np.float32(3.3000002), np.float32(0.390625), np.float32(0.390625))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-027/anat/sub-027_STIR.nii.gz,STIR,"(15, 384, 444)","(np.float32(3.3000002), np.float32(0.78125), np.float32(0.78125))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-006/anat/sub-006_T2w.nii.gz,T2,"(15, 480, 480)","(np.float32(3.3), np.float32(0.5421687), np.float32(0.5421687))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-006/anat/sub-006_STIR.nii.gz,STIR,"(15, 400, 400)","(np.float32(3.3), np.float32(0.65217394), np.float32(0.65217394))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-005/anat/sub-005_STIR.nii.gz,STIR,"(15, 256, 336)","(np.float32(3.3), np.float32(0.859375), np.float32(0.859375))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-005/anat/sub-005_T2w.nii.gz,T2,"(15, 512, 512)","(np.float32(3.3), np.float32(0.5859375), np.float32(0.5859375))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-017/anat/sub-017_STIR.nii.gz,STIR,"(768, 768, 16)","(np.float32(0.49479166), np.float32(0.49479166), np.float32(2.7499998))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-017/anat/sub-017_T2w.nii.gz,T2,"(896, 896, 18)","(np.float32(0.42410713), np.float32(0.42410713), np.float32(2.7499998))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-041/anat/sub-041_T2w.nii.gz,T2,"(19, 896, 1064)","(np.float32(3.3), np.float32(0.35714287), np.float32(0.35714287))","('L', 'P', 'S')"
ms-multi-spine-challenge-2024/sub-041/anat/sub-041_STIR.nii.gz,STIR,"(19, 768, 912)","(np.float32(3.0), np.float32(0.41666666), np.float32(0.41666666))","('L', 'P', 'S')"
ms-multi-spine-challenge-2024/sub-082/anat/sub-082_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-082/anat/sub-082_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-044/anat/sub-044_T2w.nii.gz,T2,"(576, 644, 13)","(np.float32(0.4348), np.float32(0.4348), np.float32(3.5000005))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-044/anat/sub-044_STIR.nii.gz,STIR,"(512, 572, 9)","(np.float32(0.4895), np.float32(0.4895), np.float32(3.2999992))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-098/anat/sub-098_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-098/anat/sub-098_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.488281), np.float32(0.488281), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-033/anat/sub-033_T2w.nii.gz,T2,"(15, 896, 896)","(np.float32(3.3), np.float32(0.42105263), np.float32(0.42105263))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-033/anat/sub-033_STIR.nii.gz,STIR,"(13, 864, 864)","(np.float32(3.3), np.float32(0.4360465), np.float32(0.4360465))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-040/anat/sub-040_STIR.nii.gz,STIR,"(17, 720, 720)","(np.float32(3.0), np.float32(0.48828125), np.float32(0.48828125))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-040/anat/sub-040_T2w.nii.gz,T2,"(15, 864, 864)","(np.float32(3.0), np.float32(0.4032258), np.float32(0.4032258))","('L', 'P', 'S')"
ms-multi-spine-challenge-2024/sub-100/anat/sub-100_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 190)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-100/anat/sub-100_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.488281), np.float32(0.488281), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-058/anat/sub-058_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-058/anat/sub-058_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-003/anat/sub-003_STIR.nii.gz,STIR,"(13, 864, 864)","(np.float32(3.3), np.float32(0.4360465), np.float32(0.4360465))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-003/anat/sub-003_T2w.nii.gz,T2,"(15, 896, 896)","(np.float32(3.3), np.float32(0.42105263), np.float32(0.42105263))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-045/anat/sub-045_T2w.nii.gz,T2,"(512, 512, 15)","(np.float32(0.5859375), np.float32(0.5859375), np.float32(3.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-045/anat/sub-045_STIR.nii.gz,STIR,"(256, 336, 15)","(np.float32(0.8984375), np.float32(0.8984375), np.float32(3.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-064/anat/sub-064_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-064/anat/sub-064_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-071/anat/sub-071_T2w.nii.gz,T2,"(704, 704, 15)","(np.float32(0.5263158), np.float32(0.5263158), np.float32(3.0))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-071/anat/sub-071_PSIR.nii.gz,PSIR,"(768, 541, 15)","(np.float32(0.5597015), np.float32(0.5597015), np.float32(3.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-019/anat/sub-019_T2w.nii.gz,T2,"(784, 784, 15)","(np.float32(0.5188679), np.float32(0.5188679), np.float32(2.999999))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-019/anat/sub-019_STIR.nii.gz,STIR,"(432, 432, 12)","(np.float32(0.64285713), np.float32(0.64285713), np.float32(2.9999998))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-074/anat/sub-074_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-074/anat/sub-074_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-077/anat/sub-077_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-077/anat/sub-077_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 170)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-008/anat/sub-008_T2w.nii.gz,T2,"(512, 512, 15)","(np.float32(0.6818182), np.float32(0.6818182), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-008/anat/sub-008_STIR.nii.gz,STIR,"(20, 1024, 1024)","(np.float32(3.3), np.float32(0.36231884), np.float32(0.36231884))","('L', 'P', 'S')"
